name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Berlin Brandenburg Airport,EDDB,DE,157.0,4000.0,06R/24L,CONCRETE,,52.361738,13.502341,,AIP
Göteborg Landvetter Airport,ESGG,SE,506.0,3299.0,03/21,ASP,,57.6628,12.2798,,AIP
Patrick Leahy Burlington International Airport,KBTV,US,335.0,2536.0,15/33,ASP,,44.471901,-73.153297,,AIP
Manchester-Boston Regional Airport,KMHT,US,266.0,2819.0,17/35,ASP,,42.932598,-71.435699,,AIP
Valencia Airport,LEVC,ES,240.0,2700.0,12/30,ASP,,39.489162,-0.480961,,AIP
Lennart Meri Tallinn Airport,EETN,EE,131.0,3480.0,08/26,ASP,,59.413246,24.83264,,AIP
Christchurch International Airport,NZCH,NZ,123.0,3288.0,02/20,ASP,,-43.489029,172.532065,,AIP
Palm Springs International Airport,KPSP,US,477.0,3048.0,13R/31L,ASP,,33.8297,-116.507004,,AIP
McGhee Tyson Airport,KTYS,US,981.0,3048.0,05L/23R,CON,,35.811001,-83.994003,,AIP
Pisa International Airport,LIRP,IT,6.0,2993.0,03R/21L,ASP,,43.683899,10.3927,,AIP
Perth International Airport,YPPH,AU,67.0,3444.0,03/21,ASP,,-31.94029998779297,115.96700286865234,,AIP
Domodedovo International Airport,UUDD,RU,588.0,3794.0,13L/33R,CON,,55.408798,37.9063,,AIP
Cairns International Airport,YBCS,AU,10.0,3197.0,15/33,ASP,,-16.878921,145.74948,,AIP
Lihue Airport,PHLI,US,153.0,1981.0,03/21,ASP,,21.974393,-159.337146,,AIP
Shannon Airport,EINN,IE,46.0,3199.0,06/24,ASP,,52.702,-8.92482,,AIP
Sofia Airport,LBSF,BG,1742.0,3600.0,09/27,ASP,,42.696357,23.417671,,AIP
Bristol Airport,EGGD,GB,622.0,2011.0,09/27,ASP,,51.382326,-2.716453,,AIP
Eindhoven Airport,EHEH,NL,74.0,3000.0,03/21,ASP,,51.4500999451,5.37452983856,,AIP
Luxembourg-Findel International Airport,ELLX,LU,1234.0,4000.0,06/24,ASPHALT,,49.626845,6.212134,,AIP
Key West International Airport,KEYW,US,3.0,1547.0,09/27,ASP,,24.556119,-81.759579,,AIP
Puerto Vallarta International Airport,MMPR,MX,23.0,3100.0,04/22,ASP,,20.679913,-105.254391,,AIP
José Martí International Airport,MUHA,CU,210.0,4000.0,06/24,ASP,,22.989200592041016,-82.40910339355469,,AIP
Greenville-Spartanburg International Airport,KGSP,US,964.0,3353.0,04/22,PEM,,34.895699,-82.218903,,AIP
Seville Airport,LEZL,ES,112.0,3362.0,09/27,ASP,,37.417999,-5.89311,,AIP
Santa Barbara Municipal Airport,KSBA,US,13.0,1840.0,07/25,ASP,,34.426201,-119.839996,,AIP
